deltaB,deltaA
123,1447
119,1514
113,1574
109,1606
104,1621
98,1634
95,1647
88,1660
84,1672
79,1683
74,1695
69,1705
64,1714
59,1725
53,1733
49,1745
45,1752
39,1755
34,1756
29,1758
24,1760
19,1762
14,1764
10,1765
5,1768
-1,1768
-6,1771
-11,1772
-16,1773
-20,1776
-26,1776
-30,1778
-36,1779
-40,1781
-46,1782
-51,1783
-55,1784
-61,1785
-65,1787
-70,1787
-73,1789
-65,1789
-50,1790
-47,1792
-53,1792
-61,1793
-68,1793
-75,1794
-82,1795
-90,1796
-98,1796
-105,1797
-112,1797
-120,1797
-127,1798
-135,1798
-142,1799
-149,1798
-157,1798
-165,1797
-172,1797
-179,1798
-186,1798
-193,1798
-202,1798
-209,1799
-216,1798
-223,1799
-231,1799
-238,1799
-245,1799
-253,1799
-260,1800
-267,1799
-275,1799
-282,1800
-290,1799
-297,1799
-304,1800
-311,1799
-319,1799
-326,1798
-333,1799
-342,1799
-363,1798
-403,1798
-428,1798
-455,1798
-479,1797
-504,1798
-530,1796
-554,1797
-579,1796
-602,1796
-628,1795
-651,1795
-677,1795
-726,1794
-810,1794
-891,1793
