deltaA,deltaB
-1447,123
-1514,119
-1574,113
-1606,109
-1621,104
-1634,98
-1647,95
-1660,88
-1672,84
-1683,79
-1695,74
-1705,69
-1714,64
-1725,59
-1733,53
-1745,49
-1752,45
-1755,39
-1756,34
-1758,29
-1760,24
-1762,19
-1764,14
-1765,10
-1768,5
-1768,-1
-1771,-6
-1772,-11
-1773,-16
-1776,-20
-1776,-26
-1778,-30
-1779,-36
-1781,-40
-1782,-46
-1783,-51
-1784,-55
-1785,-61
-1787,-65
-1787,-70
-1789,-73
-1789,-65
-1790,-50
-1792,-47
-1792,-53
-1793,-61
-1793,-68
-1794,-75
-1795,-82
-1796,-90
-1796,-98
-1797,-105
-1797,-112
-1797,-120
-1798,-127
-1798,-135
-1799,-142
-1798,-149
-1798,-157
-1797,-165
-1797,-172
-1798,-179
-1798,-186
-1798,-193
-1798,-202
-1799,-209
-1798,-216
-1799,-223
-1799,-231
-1799,-238
-1799,-245
-1799,-253
-1800,-260
-1799,-267
-1799,-275
-1800,-282
-1799,-290
-1799,-297
-1800,-304
-1799,-311
-1799,-319
-1798,-326
-1799,-333
-1799,-342
-1798,-363
-1798,-403
-1798,-428
-1798,-455
-1797,-479
-1798,-504
-1796,-530
-1797,-554
-1796,-579
-1796,-602
-1795,-628
-1795,-651
-1795,-677
-1794,-726
-1794,-810
-1793,-891
