aBuf,bBuf,cBuf,dBuf,deltaA,deltaB,deltaC,deltaD
0.0000,0.0000,-25.0000,0.0000,-1447.0000,123.0000,0.0000,0.0000
0.0000,0.0000,-158.0000,0.0000,-1514.0000,119.0000,6.6666,0.0000
0.0000,0.0000,-390.0000,0.0000,-1574.0000,113.0000,6.6666,0.0000
0.0000,0.0000,-552.0000,0.0000,-1606.0000,109.0000,6.6666,0.0000
0.0000,0.0000,-597.0000,0.0000,-1621.0000,104.0000,6.6666,0.0000
0.0000,0.0000,-523.0000,0.0000,-1634.0000,98.0000,6.6666,0.0000
0.0000,0.0000,-334.0000,0.0000,-1647.0000,95.0000,6.6666,0.0000
0.0000,0.0000,-91.0000,0.0000,-1660.0000,88.0000,6.6666,0.0000
-16.0000,0.0000,0.0000,0.0000,-1672.0000,84.0000,6.6666,0.0000
-136.0000,0.0000,0.0000,0.0000,-1683.0000,79.0000,6.6666,0.0000
-373.0000,0.0000,0.0000,0.0000,-1695.0000,74.0000,6.6666,0.0000
-679.0000,0.0000,0.0000,0.0000,-1705.0000,69.0000,6.6666,0.0000
-888.0000,0.0000,0.0000,0.0000,-1714.0000,64.0000,6.6666,0.0000
-978.0000,0.0000,0.0000,0.0000,-1725.0000,59.0000,6.6666,0.0000
-954.0000,0.0000,0.0000,0.0000,-1733.0000,53.0000,6.6666,0.0000
-810.0000,0.0000,0.0000,0.0000,-1745.0000,49.0000,6.6666,0.0000
-575.0000,0.0000,0.0000,0.0000,-1752.0000,45.0000,-1.0000,0.0000
-331.0000,0.0000,0.0000,0.0000,-1755.0000,39.0000,-1.0000,0.0000
-87.0000,0.0000,0.0000,0.0000,-1756.0000,34.0000,0.0000,0.0000
0.0000,-25.0000,0.0000,0.0000,-1758.0000,29.0000,-1.0000,0.0000
0.0000,-158.0000,0.0000,0.0000,-1760.0000,24.0000,0.0000,0.0000
0.0000,-397.0000,0.0000,0.0000,-1762.0000,19.0000,-1.0000,0.0000
0.0000,-577.0000,0.0000,0.0000,-1764.0000,14.0000,0.0000,0.0000
0.0000,-639.0000,0.0000,0.0000,-1765.0000,10.0000,0.0000,0.0000
0.0000,-586.0000,0.0000,0.0000,-1768.0000,5.0000,0.0000,0.0000
0.0000,-414.0000,0.0000,0.0000,-1768.0000,-1.0000,0.0000,0.0000
0.0000,-173.0000,0.0000,0.0000,-1771.0000,-6.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,-1772.0000,-11.0000,0.0000,0.0000
0.0000,0.0000,0.0000,-40.0000,-1773.0000,-16.0000,1.0000,0.0000
0.0000,0.0000,0.0000,-137.0000,-1776.0000,-20.0000,0.0000,0.0000
0.0000,0.0000,0.0000,-293.0000,-1776.0000,-26.0000,0.0000,0.0000
0.0000,0.0000,0.0000,-499.0000,-1778.0000,-30.0000,1.0000,0.0000
0.0000,0.0000,0.0000,-674.0000,-1779.0000,-36.0000,0.0000,0.0000
0.0000,0.0000,0.0000,-790.0000,-1781.0000,-40.0000,1.0000,0.0000
0.0000,0.0000,0.0000,-845.0000,-1782.0000,-46.0000,1.0000,0.0000
0.0000,0.0000,0.0000,-848.0000,-1783.0000,-51.0000,1.0000,0.0000
0.0000,0.0000,0.0000,-787.0000,-1784.0000,-55.0000,1.0000,0.0000
0.0000,0.0000,0.0000,-669.0000,-1785.0000,-61.0000,1.0000,0.0000
0.0000,0.0000,0.0000,-492.0000,-1787.0000,-65.0000,1.0000,0.0000
0.0000,0.0000,0.0000,-261.0000,-1787.0000,-70.0000,1.0000,0.0000
0.0000,0.0000,0.0000,0.0000,-1789.0000,-73.0000,5.5555,0.0000
0.0000,0.0000,0.0000,0.0000,-1789.0000,-65.0000,5.5555,0.0000
0.0000,0.0000,0.0000,0.0000,-1790.0000,-50.0000,5.5555,0.0000
0.0000,0.0000,0.0000,0.0000,-1792.0000,-47.0000,5.5555,0.0000
0.0000,0.0000,0.0000,0.0000,-1792.0000,-53.0000,5.5555,0.0000
0.0000,0.0000,0.0000,0.0000,-1793.0000,-61.0000,5.5555,0.0000
0.0000,0.0000,0.0000,0.0000,-1793.0000,-68.0000,5.5555,0.0000
0.0000,0.0000,0.0000,0.0000,-1794.0000,-75.0000,5.5555,0.0000
0.0000,0.0000,0.0000,0.0000,-1795.0000,-82.0000,5.5555,0.0000
0.0000,0.0000,0.0000,0.0000,-1796.0000,-90.0000,-5.0000,0.0000
0.0000,0.0000,0.0000,0.0000,-1796.0000,-98.0000,-5.0000,0.0000
0.0000,0.0000,0.0000,0.0000,-1797.0000,-105.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1797.0000,-112.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1797.0000,-120.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1798.0000,-127.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1798.0000,-135.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-142.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1798.0000,-149.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1798.0000,-157.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1797.0000,-165.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1797.0000,-172.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1798.0000,-179.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1798.0000,-186.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1798.0000,-193.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1798.0000,-202.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-209.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1798.0000,-216.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-223.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-231.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-238.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-245.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-253.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1800.0000,-260.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-267.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-275.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1800.0000,-282.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-290.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-297.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1800.0000,-304.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-311.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-319.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1798.0000,-326.0000,0.0000,0.0000
0.0000,50.0000,0.0000,0.0000,-1799.0000,-333.0000,0.0000,0.0000
0.0000,217.0000,0.0000,0.0000,-1799.0000,-342.0000,0.0000,0.0000
0.0000,500.0000,0.0000,0.0000,-1798.0000,-363.0000,5.0000,0.0000
0.0000,901.0000,0.0000,0.0000,-1798.0000,-403.0000,7.0000,0.0000
0.0000,1419.0000,0.0000,0.0000,-1798.0000,-428.0000,7.0000,0.0000
0.0000,2054.0000,0.0000,0.0000,-1798.0000,-455.0000,7.0000,0.0000
0.0000,2807.0000,0.0000,0.0000,-1797.0000,-479.0000,7.0000,0.0000
0.0000,3676.0000,0.0000,0.0000,-1798.0000,-504.0000,7.0000,0.0000
0.0000,4663.0000,0.0000,0.0000,-1796.0000,-530.0000,7.0000,0.0000
0.0000,5767.0000,0.0000,0.0000,-1797.0000,-554.0000,7.0000,0.0000
0.0000,6988.0000,0.0000,0.0000,-1796.0000,-579.0000,7.0000,0.0000
0.0000,8326.0000,0.0000,0.0000,-1796.0000,-602.0000,7.0000,0.0000
0.0000,9770.0000,0.0000,0.0000,-1795.0000,-628.0000,7.0000,0.0000
0.0000,11235.0000,0.0000,0.0000,-1795.0000,-651.0000,7.0000,0.0000
0.0000,12700.0000,0.0000,0.0000,-1795.0000,-677.0000,7.0000,0.0000
0.0000,14164.0000,0.0000,0.0000,-1794.0000,-726.0000,7.0000,0.0000
