deltaA,deltaB,deltaC
-736,-60,-1
-737,-59,-1
-736,-58,-1
-736,-59,-1
-736,-60,-1
-737,-54,0
-736,-52,-1
-736,-53,-1
-736,-53,-1
-737,-52,0
-736,-48,-1
-736,-47,0
-736,-47,-1
-737,-46,-1
-736,-47,-1
-736,-43,-1
-737,-41,0
-736,-39,0
-736,-41,-1
-736,-40,0
-737,-38,-1
-736,-34,0
-736,-34,-1
-736,-34,0
-737,-35,0
-736,-32,0
-736,-28,0
-736,-28,0
-737,-28,0
-736,-28,0
-736,-27,0
-736,-23,0
-737,-21,0
-736,-21,0
-736,-22,0
-737,-21,0
-736,-17,0
-736,-15,0
-736,-16,-1
-737,-15,0
-736,-15,-1
-736,-12,0
-736,-9,0
-737,-9,0
-736,-9,0
-736,-9,0
-736,-7,1
-737,-3,0
-736,-2,1
-736,-3,2
-737,-3,3
-736,-1,2
-736,2,2
-736,4,3
-737,3,3
-736,4,2
-736,4,3
-736,8,3
-737,10,3
-736,10,2
-736,9,3
-736,11,3
-737,14,3
-736,16,2
-736,16,3
-736,16,4
-737,16,3
-736,19,3
-736,22,4
-737,22,3
-736,22,4
-736,22,3
-736,25,4
-737,28,3
-736,28,4
-736,29,4
-736,29,3
-737,31,4
-736,33,4
-736,34,3
-736,35,4
-737,35,4
-736,34,4
-736,35,4
-737,32,4
-736,28,4
-736,24,4
-736,23,4
-737,24,4
-736,23,4
-736,26,5
-736,28,4
-737,30,4
-736,30,4
-736,33,5
-736,36,4
-737,36,4
-736,38,5
-736,42,4
-737,42,5
-736,42,4
-736,46,5
-736,49,4
-737,49,5
-736,51,5
-736,53,4
-736,55,5
-737,56,5
-736,58,5
-736,62,5
-736,61,5
-737,63,4
-736,66,5
-736,68,5
-736,69,5
-737,70,5
-736,75,6
-736,75,5
-737,75,5
-736,79,5
-736,81,5
-736,81,6
-737,84,5
-736,87,5
-736,87,6
-736,88,5
-737,92,5
-736,94,6
-736,94,5
-736,96,5
-737,101,5
-736,100,4
-736,101,5
-737,105,5
-736,106,4
-736,107,5
-736,109,5
-737,113,5
-736,113,5
-736,115,4
-736,118,5
-737,119,5
-736,120,5
-736,122,5
-736,126,6
-737,127,5
-736,127,5
-736,131,5
-736,133,5
-737,133,5
-736,135,6
-736,139,5
-737,139,5
-736,141,6
-736,145,5
-736,146,6
-737,145,5
-736,149,6
-736,153,5
-736,153,6
-737,153,6
-736,159,5
-736,159,6
-736,160,6
-737,162,5
-736,166,6
-736,166,6
-737,167,6
-736,172,5
-736,172,5
-736,174,5
-737,189,5
-736,201,5
-736,209,5
-736,216,5
-737,222,5
-736,230,6
-736,238,5
-736,245,5
-737,253,5
-736,259,6
-736,268,5
-736,276,6
-737,284,5
-736,292,6
-736,299,5
-737,308,6
-736,316,5
-736,324,6
-736,333,5
-737,341,6
-736,350,6
-736,357,6
-736,368,5
-737,376,6
-736,399,6
-736,434,6
-736,473,6
-737,514,6
-736,558,6
