deltaAF,deltaBF
736,558
737,514
736,473
736,434
736,399
737,376
736,368
736,357
736,350
737,341
736,333
736,324
736,316
737,308
736,299
736,292
737,284
736,276
736,268
736,259
737,253
736,245
736,238
736,230
737,222
736,216
736,209
736,201
737,189
736,174
736,172
736,172
737,167
736,166
736,166
737,162
736,160
736,159
736,159
737,153
736,153
736,153
736,149
737,146
736,145
736,145
736,141
737,139
736,139
736,135
737,133
736,133
736,131
736,127
737,127
736,126
736,122
736,120
737,119
736,118
736,115
736,113
737,113
736,109
736,107
736,106
737,105
736,101
736,101
737,100
736,96
736,94
736,94
737,92
736,88
736,87
736,87
737,84
736,81
736,81
736,79
737,75
736,75
736,75
737,70
736,69
736,68
736,66
737,63
736,62
736,61
736,58
737,56
736,55
736,53
736,51
737,49
736,49
736,46
737,42
736,42
736,42
736,38
737,36
736,36
736,35
736,35
737,35
736,34
736,34
736,33
737,33
736,32
736,31
736,30
737,30
736,29
736,29
737,28
736,28
736,28
736,28
737,26
736,25
736,24
736,24
737,23
736,23
736,22
736,22
737,22
736,22
736,19
737,16
736,16
736,16
736,16
737,14
736,11
736,10
736,10
737,9
736,8
736,4
736,4
737,4
736,3
736,2
736,-1
737,-2
736,-3
736,-3
737,-3
736,-7
736,-9
736,-9
737,-9
736,-9
736,-12
736,-15
737,-15
736,-15
736,-16
736,-17
737,-21
736,-21
736,-21
737,-22
736,-23
736,-27
736,-28
737,-28
736,-28
736,-28
736,-32
737,-34
736,-34
736,-34
736,-35
737,-38
736,-39
736,-40
736,-41
737,-41
736,-43
736,-46
737,-47
736,-47
736,-47
736,-48
737,-52
736,-52
736,-53
736,-53
737,-54
736,-58
736,-59
736,-59
737,-60
736,-60
